diversity,diversity_label,branch_length_scale,scenario,scenario_label,replicate,seed,taxa,sites,tolerance,true_breakpoints,approach,predicted_breakpoints,tp,fp,fn,precision,recall,f1,exact_count,localization_mae,localization_rmse,interval_coverage,mean_interval_width,topology_rf,wall_ms,fasttree_fresh_fits,status,simulation_ms,scan_ms,hmm_ms,merge_ms,rate_invariant_fraction,rate_q10,rate_median,rate_q90,rate_maximum,mean_pairwise_distance,pairwise_distance_q10,pairwise_distance_q90,variable_site_fraction,parsimony_informative_fraction,complete_case_fraction,mean_events_per_triplet,median_events_per_triplet,events_per_triplet_q10,events_per_triplet_q90,eligible_triplet_fraction
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,1,20260812,9,3000,60,,ranked-window,742;780;510;1001;1231;1209;2553;1448;1641;2321;1468;1888;697;1864;2115;2504;971;2167;2208;1950;1372;2490;2338;1399;2467;1194;1064;2435;1750;2524;2396;2682;1326;415;2695;950;1350;447;2271;481;674;2639;2411;912;1535;2100,0,46,0,0,,0,false,,,,,,14.566851999999926,0,complete,27.79630999999995,14.566851999999926,142.41545300000007,4.343655000000126,0.07633333333333336,0.022668795309222646,0.4741754840041479,2.768091356271851,16.674215621467106,0.043265298299558795,0.02587618105910789,0.0668782693984307,0.11933333333333333,0.061,0.9433333333333334,180.16666666666666,180.5,120.6,243.10000000000002,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,1,20260812,9,3000,60,,local-hmm-merged,1204;742;1464;1944;2589;2333;457,0,7,0,0,,0,false,,,,145.85714285714286,,161.32596000000012,0,complete,27.79630999999995,14.566851999999926,142.41545300000007,4.343655000000126,0.07633333333333336,0.022668795309222646,0.4741754840041479,2.768091356271851,16.674215621467106,0.043265298299558795,0.02587618105910789,0.0668782693984307,0.11933333333333333,0.061,0.9433333333333334,180.16666666666666,180.5,120.6,243.10000000000002,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,1,20260812,9,3000,60,,stepwise-aicc,,0,0,0,,,,true,,,,,0,3958.215257,15,complete,27.79630999999995,14.566851999999926,142.41545300000007,4.343655000000126,0.07633333333333336,0.022668795309222646,0.4741754840041479,2.768091356271851,16.674215621467106,0.043265298299558795,0.02587618105910789,0.0668782693984307,0.11933333333333333,0.061,0.9433333333333334,180.16666666666666,180.5,120.6,243.10000000000002,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,1,20260812,9,3000,60,,tree-hmm-aicc,,0,0,0,,,,true,,,,,0,4827.5537779999995,25,22 family trees; 3 unique topologies; 7 cached subset tests; 1 states; 0 refinements (not required); delta AICc 0.000; logL -6716.086 vs null -6716.086,27.79630999999995,14.566851999999926,142.41545300000007,4.343655000000126,0.07633333333333336,0.022668795309222646,0.4741754840041479,2.768091356271851,16.674215621467106,0.043265298299558795,0.02587618105910789,0.0668782693984307,0.11933333333333333,0.061,0.9433333333333334,180.16666666666666,180.5,120.6,243.10000000000002,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,1,20260812,9,3000,60,,oracle-aicc,,0,0,0,,,,true,,,,,0,0,0,No true breakpoint candidates; FastTree skipped.,27.79630999999995,14.566851999999926,142.41545300000007,4.343655000000126,0.07633333333333336,0.022668795309222646,0.4741754840041479,2.768091356271851,16.674215621467106,0.043265298299558795,0.02587618105910789,0.0668782693984307,0.11933333333333333,0.061,0.9433333333333334,180.16666666666666,180.5,120.6,243.10000000000002,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,1,20260812,9,3000,60,,single-tree,,,,,,,,,,,,,0,642.1539990000001,1,topology baseline,27.79630999999995,14.566851999999926,142.41545300000007,4.343655000000126,0.07633333333333336,0.022668795309222646,0.4741754840041479,2.768091356271851,16.674215621467106,0.043265298299558795,0.02587618105910789,0.0668782693984307,0.11933333333333333,0.061,0.9433333333333334,180.16666666666666,180.5,120.6,243.10000000000002,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,2,20358221,9,3000,60,,ranked-window,2214;1869;2820;1921;1545;2227;1901;1846;2574;2734;1888;1493;1084;2641;2621;1101;2316;2243;2523;975;1968;2555;2833;1670;2660;927;1815;2477;1329;1266;2791;2501;446;1621;1947;905;1447;2158;1731;2604;235;569;2749;1125;1315;633;713;1216;1638;1287;432;2276;2027;1474;2777;1992;740;2178;538,0,59,0,0,,0,false,,,,,,10.521138000000064,0,complete,24.979276000000027,10.521138000000064,60.712751000000935,4.684838999999556,0.07633333333333336,0.02462922988617211,0.5020636083366278,2.828620789917532,16.198044175692193,0.045549170079784554,0.024094155417942874,0.059268352704892655,0.13466666666666666,0.058,0.9566666666666667,192.5952380952381,193.5,159.6,225,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,2,20358221,9,3000,60,,local-hmm-merged,1876;1101;2660;1594;2227;446,0,6,0,0,,0,false,,,,102.5,,75.91872800000056,0,complete,24.979276000000027,10.521138000000064,60.712751000000935,4.684838999999556,0.07633333333333336,0.02462922988617211,0.5020636083366278,2.828620789917532,16.198044175692193,0.045549170079784554,0.024094155417942874,0.059268352704892655,0.13466666666666666,0.058,0.9566666666666667,192.5952380952381,193.5,159.6,225,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,2,20358221,9,3000,60,,stepwise-aicc,,0,0,0,,,,true,,,,,0,3435.597933000001,13,complete,24.979276000000027,10.521138000000064,60.712751000000935,4.684838999999556,0.07633333333333336,0.02462922988617211,0.5020636083366278,2.828620789917532,16.198044175692193,0.045549170079784554,0.024094155417942874,0.059268352704892655,0.13466666666666666,0.058,0.9566666666666667,192.5952380952381,193.5,159.6,225,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,2,20358221,9,3000,60,,tree-hmm-aicc,,0,0,0,,,,true,,,,,0,4660.503317000001,24,19 family trees; 5 unique topologies; 26 cached subset tests; 1 states; 0 refinements (not required); delta AICc 0.000; logL -7170.679 vs null -7170.679,24.979276000000027,10.521138000000064,60.712751000000935,4.684838999999556,0.07633333333333336,0.02462922988617211,0.5020636083366278,2.828620789917532,16.198044175692193,0.045549170079784554,0.024094155417942874,0.059268352704892655,0.13466666666666666,0.058,0.9566666666666667,192.5952380952381,193.5,159.6,225,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,2,20358221,9,3000,60,,oracle-aicc,,0,0,0,,,,true,,,,,0,0,0,No true breakpoint candidates; FastTree skipped.,24.979276000000027,10.521138000000064,60.712751000000935,4.684838999999556,0.07633333333333336,0.02462922988617211,0.5020636083366278,2.828620789917532,16.198044175692193,0.045549170079784554,0.024094155417942874,0.059268352704892655,0.13466666666666666,0.058,0.9566666666666667,192.5952380952381,193.5,159.6,225,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,2,20358221,9,3000,60,,single-tree,,,,,,,,,,,,,0,544.3091920000006,1,topology baseline,24.979276000000027,10.521138000000064,60.712751000000935,4.684838999999556,0.07633333333333336,0.02462922988617211,0.5020636083366278,2.828620789917532,16.198044175692193,0.045549170079784554,0.024094155417942874,0.059268352704892655,0.13466666666666666,0.058,0.9566666666666667,192.5952380952381,193.5,159.6,225,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,3,20455630,9,3000,60,,ranked-window,1749;796;2451;2472;1482;737;688;2767;1905;2670;1723;1331;703;1182;2250;2576;1434;2279;1248;1838;2504;2182;2141;2688;1384;769;2794;2607;825;839;2554;1307;2640;1883;753;1404;1147;416;941;718,0,40,0,0,,0,false,,,,,,3.8539899999996123,0,complete,11.271272999998473,3.8539899999996123,41.70181700000103,1.3752409999979136,0.08199999999999996,0.01732801663127462,0.49433492830349046,2.9063879246726825,17.500021938593402,0.0528765717538485,0.028460232547055257,0.06994867786759745,0.14233333333333334,0.08033333333333334,0.9466666666666667,220.83333333333334,229.5,159.5,259.7,1
gard-low,GARD low-diversity regime (~5% target),0.12,null,No recombination,3,20455630,9,3000,60,,local-hmm-merged,1794;2472;787;2767;1307;2157;1534,0,7,0,0,,0,false,,,,102.85714285714286,,46.931047999998555,0,complete,11.271272999998473,3.8539899999996123,41.70181700000103,1.3752409999979136,0.08199999999999996,0.01732801663127462,0.49433492830349046,2.9063879246726825,17.500021938593402,0.0528765717538485,0.028460232547055257,0.06994867786759745,0.14233333333333334,0.08033333333333334,0.9466666666666667,220.83333333333334,229.5,159.5,259.7,1
